tiempo,VELOCIDAD,ACELERACION
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
731,4,8126526,0,156046566666667
732,4,9171414,-0,275118883333333
733,4,3427114,-0,263966816666667
734,4,324696,-0,520941733333333
735,3,2406912,-1,12123648333333
736,2,3522806,-0,580992666666667
737,2,018226,-0,425460825
738,1,5168864,-0,211636716666667
739,1,6630675,0,308104058333334
740,2,0506532,0,529391816666667
741,2,5911117,0,243806941666667
742,2,5885382,0,181096433333334
743,3,0404642,0,486154975
744,3,472316,0,379564691666667
745,3,8274744,0,435112016666667
746,4,3298435,0,467668233333334
747,4,67934,0,126964741666667
748,4,675222,0,199712041666667
749,5,0669255,0,224118391666667
750,5,033983,-0,110708083333333
751,4,8600073,-0,453941841666667
752,4,3483734,0,111866191666666
753,5,0293508,0,486326700000001
754,5,0463367,-0,31989985
755,4,6077933,-0,175563225
756,4,8147116,0,427734075
757,5,2831087,0,276791825
758,5,316051,-0,0164708500000001
759,5,2970066,-0,071031608333333
760,5,123545,-0,41902695
761,4,59544,-0,183155158333333
762,4,7318416,-0,030154216666667
763,4,3612413,-0,62388625
764,3,611806,-0,581764766666666
765,3,1217902,-0,983162458333333
766,1,79741,-0,806827008333333
767,1,6440228,-0,0986550583333333
768,1,4715909,0,0345721916666667
769,1,6990981,0,19194845
770,1,8231461,0,245694025
771,2,153083,0,194908058333333
772,2,1551418,-0,128294441666667
773,2,016167,0,0831706333333331
774,2,2673514,0,0499708833333336
775,2,0527122,-0,253972508333333
776,1,8478528,-0,194865258333334
777,1,7078483,-0,0388186666666666
778,1,8468233,0,4729868
779,2,5103002,0,397880316666667
780,2,5916264,0,117571091666667
781,2,8917093,0,496878475
782,3,487243,0,51746745
783,3,7126913,-0,308962033333333
784,2,949873,-0,77847435
785,2,3002937,-0,637354791666667
786,1,5297544,-1,28770638333333
787,0,-0,828145125
788,0,0,127479533333333
789,0,0
790,0,0
791,0,0
792,0,-0,326333883333333
793,0,2,20674278333333
794,3,9160066,2,788035975
795,4,8471394,0,460333216666667
796,5,3206835,0,356144683333334
797,5,7134166,0,614707058333333
798,6,572488,0,961415441666666
799,7,4850907,0,736438966666667
800,7,957091,0,1823402
801,7,952973,0,0574773083333332
802,8,127464,0,108434749999999
803,8,158347,0,0665704166666667
804,8,298866,0,199068833333334
805,8,525344,0,218543
806,8,674614,-0,00952250000000069
807,8,541815,-0,100070583333333
808,8,544904,0,0977115833333335
809,8,688511,0,0828270833333337
810,8,675643,-0,0664421249999996
811,8,593802,-0,0408772500000005
812,8,5845375,-0,0635255833333333
813,8,450194,-0,152358416666667
814,8,289086,-0,208976791666667
815,8,058491,-0,127221808333333
816,7,958635,-0,3273632
817,7,3332477,-0,835737166666667
818,6,415498,-0,81437655
819,5,742241,-0,665149941666667
820,5,0031,-0,846503333333333
821,4,015863,-1,16014111666667
822,2,762514,-1,20646614166667
823,1,7392464,-0,661846816666667
824,1,2677609,-0,9292881
825,0,-0,700236733333333
826,0,-0,0966390916666667
827,0,1,33450315
828,2,42743,1,97001350833333
829,3,4054022,0,42104275
830,3,6030555,0,452011825
831,4,352491,0,516781241666667
832,4,5799985,0,261050158333333
833,5,0195713,0,727002083333333
834,5,807096,0,225533758333334
835,5,445246,-0,375618524999999
836,5,278991,-0,0790524916666668
837,5,3021536,0,218327883333333
838,5,6109867,0,167027433333334
839,5,481277,-0,552082608333334
840,4,707649,-0,416152991666667
841,4,7004433,-0,0811113833333335
842,4,358153,-0,604283866666667
843,3,6586456,-0,379092941666666
844,3,6246738,-0,120659508333333
845,3,381725,-0,0847575000000003
846,3,5907023,0,552768933333333
847,4,4039636,0,854224458333333
848,5,1693554,0,702595591666667
849,5,7602563,0,3660104
850,6,0098968,0,5079453
851,6,73617,0,461705758333333
852,6,8813214,0,208204816666666
853,7,191184,0,173719066666667
854,7,151551,-0,208934266666666
855,6,813378,-0,402126933333334
856,6,3660846,-0,510776
857,5,732976,-0,880475508333333
858,4,637647,-1,12020706666667
859,3,5515833,-1,16159921666667
860,2,3574278,-1,02764295
861,1,430413,-1,27565325833333
862,0,-0,75715635
863,0,0,119201083333333
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,-0,113410466666667
871,0,0,780276016666667
872,1,3609256,0,882019491666667
873,1,5240926,-0,04774055
874,1,6085069,0,5345819
875,2,553537,0,9356792
876,3,181498,0,100842741666667
877,2,879871,-0,1822546
878,3,009066,0,227035325
879,3,3611362,0,700108191666667
880,4,3071957,0,83316365
881,4,8636103,0,320328716666666
882,5,030895,0,222145441666666
883,5,306786,0,0685868583333333
884,5,186856,-0,0176721166666668
885,5,288256,-0,0112383166666664
886,5,0947204,-0,351083416666666
887,4,704561,-0,187659183333334
888,4,730297,-0,0344435249999998
889,4,624779,0,0625387166666663
890,4,8697867,0,232354333333333
891,5,070014,0,3733884
892,5,503925,0,0983548583333333
893,5,2172246,-0,410491241666666
894,4,8672132,-0,130825291666666
895,4,9022145,-0,153472758333334
896,4,5537477,-0,197439050000001
897,4,5511737,-0,00403204166666667
898,4,4281554,-0,331523841666666
899,3,9458606,-0,400754158333333
900,3,689529,-0,251656366666667
901,3,4512124,-0,0945802333333333
902,3,4908462,0,0453815166666663
903,3,491361,-0,0198167833333334
904,3,4661396,-0,00253070833333317
905,3,491361,0,0177149166666667
906,3,5212147,0,146181033333333
907,3,7193828,-0,0336285249999997
908,3,5361416,0,109464191666667
909,4,0143185,0,583909333333333
910,4,56713,0,530378383333334
911,4,960378,0,0831707416666672
912,4,740077,-0,347222975
913,4,3998456,-0,253500833333334
914,4,2495465,-0,1121238
915,4,078144,-0,405686725
916,3,5119498,-0,375361133333333
917,3,3673127,-0,172088875
918,3,0672297,-0,423444766666667
919,2,5854497,-0,370685816666667
920,2,338383,-0,369870783333333
921,1,9847689,0,137816858333333
922,2,7002327,1,06191481666667
923,3,826445,0,876100233333334
924,4,328814,0,288587666666666
925,4,5002165,0,0923496083333332
926,4,6273527,0,324661058333334
927,5,1065593,0,374846591666666
928,5,2836237,0,0284382083333339
929,5,2522254,0,084457225
930,5,451423,0,112338458333333
931,5,435467,0,0202028666666661
932,5,401495,-0,43764275
933,4,610367,-0,72520075
934,4,102336,-0,42619015
935,3,744604,-0,231710683333333
936,3,5896728,-0,224504658333333
937,3,2895896,-0,18898885
938,3,1562767,-0,410876925
939,2,5453014,-0,272288075
940,2,5658903,-0,380465491666667
941,1,8339553,-0,382352883333333
942,2,0310938,0,621355391666667
943,2,855164,0,629376591666667
944,3,2792952,0,721769458333334
