tiempo;VELOCIDAD;ACELERACION;;
415;5,29;0,081666667;;0,66
416;5,4;-0,098333333;;0,94
417;5,11;-0,194166667;;1,52
418;5,06;-0,069166667;;2,11
419;4,9;-0,285833333;;1,92
420;4,55;-0,266666667;;2,65
421;4,46;0,145833333;;3,77
422;4,74;0,134166667;;4,16
423;4,67;-0,080833333;;4,39
424;4,62;-0,104166667;;5,06
425;4,47;-0,091666667;;5,2
426;4,39;-0,220833333;;5,68
427;3,93;-0,754166667;;5,9
428;2,95;-1,055;;5,74
429;2;-0,650833333;;5,5
430;1,61;-0,476666667;;4,84
431;1,02;-0,429166667;;4,82
432;0,83;0,015;;4,7
433;0,91;-0,235833333;;4,23
434;0,55;0,349166667;;3,93
435;1,61;0,930833333;;2,44
436;2,24;0,8825;;1,89
437;3,26;0,459166667;;1,57
438;3,16;0,014166667;;1,4
439;3,46;0,305;;0,73
440;3,67;0,103333333;;0,36
441;3,68;0,001666667;;1,3
442;3,68;-0,105;;3,39
443;3,52;-0,028333333;;3,72
444;3,65;0,1875;;3,96
445;3,78;-0,155;;4,49
446;3,51;0,2875;;4,9
447;4,26;0,363333333;;5,44
448;4,04;-0,4375;;5,49
449;3,66;-0,036666667;;5,81
450;3,96;0,285;;5,6
451;4,06;-0,169166667;;5,4
452;3,82;0,273333333;;5,07
453;4,57;0,520833333;;4,39
454;4,76;0,360833333;;2,82
455;5,33;0,463333333;;1,63
456;5,57;0,038333333;;1,64
457;5,49;-0,014166667;;1,45
458;5,58;0,053333333;;1,72
459;5,58;0,0225;;1,42
460;5,65;0,1225;;2,18
461;5,78;0,030833333;;2,19
462;5,71;-0,044166667;;2,35
463;5,69;-0,160833333;;2,06
464;5,46;0,03;;1,9
465;5,71;0,095;;1,31
466;5,51;-0,395833333;;1,29
467;4,95;-0,769166667;;2,05
468;4,13;-0,525833333;;2,47
469;3,9;-0,3125;;2,72
470;3,42;-0,463333333;;3,1
471;3,02;-0,334166667;;3,14
472;2,65;-0,695;;3,59
473;1,75;-0,481666667;;4,06
474;1,6;-0,721666667;;4,18
475;0,4;-0,678333333;;4,53
476;0,51;0,5525;;4,66
477;1,17;0,298333333;;5,07
478;1,13;0,279166667;;5,29
479;1,78;0,511666667;;5,02
480;2,04;0,260833333;;5,41
481;2,31;0,085833333;;6,47
482;2,24;0,008333333;;0
483;2,35;0,016666667;;0
484;2,26;-0,088333333;;0
485;2,27;0,2275;;0
486;2,66;0,328333333;;0
487;2,82;0,0275;;4,51
488;2,72;-0,246666667;;4,05
489;2,42;-0,2;;3,48
490;2,42;0,241666667;;3,12
491;2,82;0,3325;;2,6
492;3,02;0,190833333;;2,37
493;3,23;0,1575;;2,51
494;3,41;0,446666667;;2,48
495;4,05;0,520833333;;2,23
496;4,22;-0,3025;;1,54
497;3,46;-1,0825;;1,36
498;2,32;-0,8475;;1,44
499;1,84;-0,4075;;1,41
500;1,43;-0,319166667;;2,53
501;1,23;-0,054166667;;3,63
502;1,27;0,02;;3,84
503;1,21;-0,181666667;;3,99
504;1,03;0,0775;;4,37
505;1,49;0,920833333;;4,99
506;2,58;0,560833333;;5,29
507;2,56;0,0575;;5,4
